Name,Country,Gender,Flights,Total Flights,Total Flight Time (ddd:hh:mm),Year,Group,Status,Birth Date,Birth Place,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Heidemarie Stefanyshyn-Piper,United States,Woman,"STS-115 (2006), STS-126 (2008)",2,027:15:36,1996.0,16.0,Retired,2/7/1963,Minnesota,MIT,Mechanical Engineering,0,Captain,US Navy,2,663,2,33.0,"STS-115 (Atlantis), STS-126 (Endeavor)",0,0
Jack D. Fischer,United States,Man,Soyuz MS-04 (2017),1,135:18:08,2009.0,20.0,Active,1/23/1974,Colorado,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,0,0,0,0,0,0.0,0,0,0
Jack Lousma,United States,Man,"Skylab 3 (1973), STS-3 (1982)",2,067:11:13,1966.0,5.0,Retired,2/29/1936,Michigan,University of Michigan; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),2,1619,2,11.0,"Skylab 3, STS-3 (Columbia)",0,0
"James ""Ox"" van Hoften",United States,Man,"STS-41-C (1984), STS-51-I (1985)",2,014:01:57,1978.0,8.0,Retired,6/11/1944,California,University of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,0,0,2,338,4,22.0,"STS 41-C (Challenger), STS 51-I (Discovery)",0,0
James Adamson,United States,Man,"STS-28 (1989), STS-43 (1991)",2,013:22:21,1984.0,10.0,Retired,3/3/1946,New York,US Military Academy; Princeton University,Engineering,Aerospace Engineering,Colonel,US Army (Retired),2,334,0,0.0,"STS-28 (Columbia), STS-43 (Atlantis)",0,0
James Buchli,United States,Man,"STS-51-C (1985), STS-61-A (1985), STS-29 (1989), STS-48 (1991)",4,020:10:24,1978.0,8.0,Retired,6/20/1945,North Dakota,US Naval Academy; University of West Florida,Aeronautical Engineering,Aeronautical Engineering Systems,Colonel,US Marine Corps (Retired),4,490,0,0.0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery",0,0
James H. Newman,United States,Man,"STS-51 (1993), STS-69 (1995), STS-88 (1998), STS-109 (2002)",4,043:10:09,1990.0,13.0,Retired,10/16/1956,California,Dartmouth College; Rice University,Physics,Physics,0,0,4,1042,6,43.0,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",0,0
James Irwin,United States,Man,Apollo 15 (1971),1,012:07:11,1966.0,5.0,Deceased,3/17/1930,Pennsylvania,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Colonel,US Air Force (Retired),1,295,3,20.0,Apollo 15,8/8/1991,0
James M. Kelly,United States,Man,"STS-102 (2001), STS-114 (2005)",2,026:17:23,1996.0,16.0,Management,5/14/1964,Iowa,US Air Force Academy; University of Alabama,Astronautical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,641,0,0.0,"STS-102 (Discovery), STS-114 (Discovery)",0,0
James McDivitt,United States,Man,"Gemini 4 (1965), Apollo 9 (1969)",2,014:02:57,1984.0,2.0,Retired,6/10/1929,Illinois,University of Michigan,Astronautical Engineering,0,Brigadier General,US Air Force (Retired),2,338,0,0.0,"Gemini 4, Apollo 9",0,0
James Pawelczyk,United States,Man,STS-90 (1998),1,015:21:50,0.0,0.0,Retired,9/20/1960,New York,University of Rochester; Pennsylvania State University; University of North Texas,Biology & Psychology,Physiology; Biology,0,0,1,381,0,0.0,STS-90 (Columbia),0,0
James Voss,United States,Man,"STS-44 (1991), STS-53 (1992), STS-69 (1995), STS-101 (2000), STS-102 (2001)",5,202:05:29,1987.0,12.0,Retired,3/3/1949,Alabama,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Colonel,US Army (Retired),5,4853,4,22.0,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",0,0
James Wetherbee,United States,Man,"STS-32 (1990), STS-52 (1992), STS-63 (1995), STS-86 (1997), STS-102 (2001), STS-113 (2002)",6,068:08:29,1984.0,10.0,Retired,11/27/1952,New York,University of Notre Dame,Aerospace Engineering,0,Captain,US Navy (Retired),6,1594,0,0.0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",0,0
Janet L. Kavandi,United States,Woman,"STS-91 (1998), STS-99 (2000), STS-104 (2001)",3,033:20:07,1995.0,15.0,Management,7/17/1959,Missouri,Missouri Southern State College; University of Missouri; University of Washington,Chemistry,Chemistry,0,0,3,812,0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",0,0
Janice Voss,United States,Woman,"STS-57 (1993), STS-63 (1995), STS-83 (1997), STS-94 (1997), STS-99 (2000)",5,049:03:51,1990.0,13.0,Deceased,10/8/1956,Indiana,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,0,0,5,1179,0,0.0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",2/6/2012,0
Jeffrey Ashby,United States,Man,"STS-93 (1999), STS-100 (2001), STS-112 (2002)",3,027:16:19,1995.0,15.0,Retired,6/1/1954,Texas,University of Idaho; University of Tennessee,Mechanical Engineering,Aviation Systems,Captain,US Navy (Retired),3,655,0,0.0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",0,0
Jeffrey Hoffman,United States,Man,"STS-51-D (1985), STS-35 (1990), STS-46 (1992), STS-61 (1993), STS-75 (1996)",5,050:11:54,1978.0,8.0,Retired,11/2/1944,New York,Amherst College; Rice University; Harvard University,Astronomy,Materials Science; Astrophysics,0,0,5,1211,4,25.0,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",0,0
Jeffrey Williams,United States,Man,"STS-101 (2000), Soyuz TMA-8 (2006), Soyuz TMA-16 (2009), Soyuz TMA-20M (2016)",4,534:02:47,1996.0,16.0,Active,1/18/1958,Wisconsin,US Military Academy; US Naval Postgraduate School; US Naval War College,Applied Science & Engineering,Aeronautical Engineering; National Security & Strategic Studies,Colonel,US Army (Retired),4,12818,5,32.0,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",0,0
Jerry L. Ross,United States,Man,"STS-61-B (1985), STS-27 (1988), STS-37 (1991), STS-55 (1993), STS-74 (1995), STS-88 (1998), STS-110 (2002)",7,058:00:53,1980.0,9.0,Retired,1/20/1948,Indiana,Purdue University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),7,1393,9,58.0,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",0,0
Jerry Linenger,United States,Man,"STS-64 (1994), STS-81 (1997)",2,143:02:50,1992.0,14.0,Retired,1/16/1955,Michigan,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Bioscience,Systems Management; Public Health; Medicine; Epidemiology,Captain,US Navy (Retired),2,3435,1,5.0,"STS-64 (Discovery), STS-81/84 (Atlantis)",0,0
Joan Higginbotham,United States,Woman,STS-116 (2006),1,012:20:44,1996.0,16.0,Retired,8/3/1964,Illinois,Southern Illinois University-Carbondale; Florida Institute of Technology,Electrical Engineering,Business Management; Space Systems,0,0,1,308,0,0.0,STS-116 (Discovery),0,0
Joe H. Engle,United States,Man,"STS-2 (1981), STS-51-I (1985)",2,009:08:30,1966.0,5.0,Retired,8/26/1932,Kansas,University of Kansas,Aeronautical Engineering,0,Major General,US Air Force (Retired),2,224,0,0.0,"STS-2 (Columbia), STS 51-I (Discovery)",0,0
John Blaha,United States,Man,"STS-29 (1989), STS-33 (1989), STS-43 (1991), STS-58 (1993), STS-79 (1996)",5,161:02:48,1980.0,9.0,Retired,8/26/1942,Texas,US Air Force Academy; Purdue University,Engineering Science,Astronautical Engineering,Colonel,US Air Force (Retired),5,3861,0,0.0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)",0,0
John Casper,United States,Man,"STS-36 (1990), STS-54 (1993), STS-62 (1994), STS-77 (1996)",4,034:09:53,1984.0,10.0,Management,7/9/1943,South Carolina,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Colonel,US Air Force (Retired),4,825,0,0.0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",0,0
John D. Olivas,United States,Man,"STS-117 (2007), STS-128 (2009)",2,027:17:05,1998.0,17.0,Retired,5/25/1966,California,University of Texas-El Paso; University of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,0,0,2,665,5,34.0,"STS-117 (Atlantis), STS-128 (Discovery)",0,0
John Fabian,United States,Man,"STS-7 (1983), STS-51-G (1985)",2,013:04:02,1978.0,8.0,Retired,1/28/1939,Texas,Washington State University; US Air Force Institute of Technology; University of Washington,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,Colonel,US Air Force (Retired),2,316,0,0.0,"STS-7 (Challenger), STS 51-G (Discovery)",0,0
John Grunsfeld,United States,Man,"STS-67 (1995), STS-81 (1997), STS-103 (1999), STS-109 (2002), STS-125 (2009)",5,059:15:05,1992.0,14.0,Management,10/10/1958,Illinois,MIT; University of Chicago,Physics,Physics,0,0,5,1407,8,58.0,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",0,0
John Herrington,United States,Man,STS-113 (2002),1,014:18:48,1996.0,16.0,Retired,9/14/1958,Oklahoma,University of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,Commander,US Navy (Retired),1,330,3,20.0,STS-113 (Endeavor),0,0
John O. Creighton,United States,Man,"STS-51-G (1985), STS-36 (1990), STS-48 (1991)",3,016:20:24,1978.0,8.0,Retired,4/28/1943,Texas,US Naval Academy; George Washington University,0,Science & Technology Administration,Captain,US Navy (Retired),3,404,0,0.0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",0,0
John Phillips,United States,Man,"STS-100 (2001), Soyuz TMA-6 (2005), STS-119 (2009)",3,203:17:23,1996.0,16.0,Retired,4/15/1951,Virginia,US Naval Academy; University of West Florida; University of California-Los Angeles,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,Captain,US Naval Reserves (Retired),3,4880,1,5.0,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)",0,0
John Young,United States,Man,"Gemini 3 (1965), Gemini 10 (1966), Apollo 10 (1969), Apollo 16 (1972), STS-1 (1981), STS-9 (1983)",6,034:18:41,1962.0,2.0,Retired,9/24/1930,California,Georgia Institute of Technology,Aeronautical Engineering,0,Captain,US Navy (Retired),6,835,3,20.0,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",0,0
John-David F. Bartoe,United States,Man,STS-51-F (1985),1,007:22:45,0.0,0.0,Retired,11/17/1944,Pennsylvania,Lehigh University; Georgetown University,Physics,Physics,0,0,1,190,0,0.0,STS 51-F (Challenger),0,0
Jon McBride,United States,Man,STS-41-G (1984),1,008:05:23,1978.0,8.0,Retired,8/14/1943,West Virginia,US Naval Postgraduate School,Aeronautical Engineering,0,Captain,US Navy (Retired),1,197,0,0.0,STS 41-G (Challenger),0,0
Joseph M. Acaba,United States,Man,"STS-119 (2009), Soyuz TMA-04M (2012), Soyuz MS-06 (2017)",3,305:00:35,2004.0,19.0,Active,5/17/1967,California,University of California-Santa Barbara; University of Arizona,Geology,Geology,0,0,2,3307,2,13.0,"STS-119 (Discovery), ISS-31/32 (Soyuz)",0,0
Joseph P. Allen,United States,Man,"STS-5 (1982), STS-51-A (1984)",2,013:01:59,1967.0,6.0,Retired,6/27/1937,Indiana,DePauw University; Yale University,Mathematics & Physics,Physics,0,0,2,313,2,12.0,"ST-5 (Columbia), STS 51-A (Discovery)",0,0
Joseph Tanner,United States,Man,"STS-66 (1994), STS-82 (1997), STS-97 (2000), STS-115 (2006)",4,043:13:15,1992.0,14.0,Retired,1/21/1950,Illinois,University of Illinois,Mechanical Engineering,0,0,0,4,1045,7,46.0,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",0,0
Judith Resnik,United States,Woman,"STS-41-D (1984), STS-51-L (1986)",2,006:00:57,1978.0,8.0,Deceased,4/5/1949,Ohio,Carnegie-Mellon University; University of Maryland,Electrical Engineering,Electrical Engineering,0,0,2,144,0,0.0,"STS 41-D (Discovery), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
K. Megan McArthur,United States,Woman,"STS-125 (2009), SpaceX Crew-2 (2021)",2,1624:04:46,2000.0,18.0,Active,8/30/1971,Hawaii,University of California-Los Angeles; University of California-San Diego,Aerospace Engineering,Oceanography,0,0,1,309,0,0.0,STS-125 (Atlantis),0,0
Kalpana Chawla,United States,Woman,"STS-87 (1997), STS-107 (2003)",2,031:14:54,1995.0,15.0,Deceased,6/1/1961,India,Punjab Engineering College; University of Texas-Arlington; University of Colorado,Aeronautical Engineering,Aerospace Engineering,0,0,2,734,0,0.0,"STS-87 (Columbia), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
Karen Nyberg,United States,Woman,"STS-124 (2008), Soyuz TMA-09M (2013)",2,180:00:30,2000.0,18.0,Active,10/7/1969,Minnesota,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,0,0,2,4320,0,0.0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",0,0
Karl Henize,United States,Man,STS-51-F (1985),1,007:22:45,1967.0,6.0,Deceased,10/17/1926,Ohio,University of Virginia; University of Michigan,Mathematics,Astronomy,0,0,1,190,0,0.0,STS 51-F (Challenger),10/5/1993,0
Karol Bobko,United States,Man,"STS-6 (1983), STS-51-D (1985), STS-51-J (1985)",3,016:02:03,1969.0,7.0,Retired,12/23/1937,New York,US Air Force Academy; University of Southern California,0,Aerospace Engineering,Colonel,US Air Force (Retired),3,386,0,0.0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)",0,0
Kathleen Rubins,United States,Woman,"Soyuz MS-01 (2016), Soyuz MS-17 (2020)",2,300:01:31,2009.0,20.0,Active,10/14/1978,Connecticut,University of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,0,0,1,2762,2,13.0,ISS-48/49 (Soyuz),0,0
Kathryn Hire,United States,Woman,"STS-90 (1998), STS-130 (2010)",2,029:15:58,1995.0,15.0,Management,8/26/1959,Alabama,US Naval Academy; Florida State Institute of Technology,Engineering Management,Space Technology,Captain,US Naval Reserves,2,711,0,0.0,"STS-90 (Columbia), STS-130 (Endeavor)",0,0
Kathryn Sullivan,United States,Woman,"STS-41-G (1984), STS-31 (1990), STS-45 (1992)",3,022:04:49,1978.0,8.0,Retired,10/3/1951,New Jersey,University of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,0,0,3,532,1,3.0,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",0,0
Kathryn Thornton,United States,Woman,"STS-33 (1989), STS-49 (1992), STS-61 (1993), STS-73 (1995)",4,040:17:15,1984.0,10.0,Retired,8/17/1952,Alabama,Auburn University; University of Virginia,Physics,Physics,0,0,4,975,3,21.0,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",0,0
Kenneth Bowersox,United States,Man,"STS-50 (1992), STS-61 (1993), STS-73 (1995), STS-82 (1997), STS-113 (2002)",5,212:14:12,1987.0,12.0,Retired,11/14/1956,Virginia,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),5,5078,2,13.0,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",0,0
Kenneth Cockrell,United States,Man,"STS-56 (1993), STS-69 (1995), STS-80 (1996), STS-98 (2001), STS-111 (2002)",5,064:12:27,1990.0,13.0,Management,4/9/1950,Texas,University of Texas; University of West Florida,Mechanical Engineering,Aeronautical Systems,0,US Naval Reserves,5,1548,0,0.0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",0,0
Kenneth D. Cameron,United States,Man,"STS-37 (1991), STS-56 (1993), STS-74 (1995)",3,023:10:11,1984.0,10.0,Retired,11/29/1949,Ohio,MIT; Michigan State University,Aeronautics & Astronautics,Aeronautics & Astronautics; Business Administration,Colonel,US Marine Corps (Retired),3,562,0,0.0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",0,0
Kenneth Ham,United States,Man,"STS-124 (2008), STS-132 (2010)",2,025:12:42,1998.0,17.0,Retired,12/12/1964,New Jersey,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,612,0,0.0,"STS-124 (Discovery), STS-132 (Atlantis)",0,0
Kent Rominger,United States,Man,"STS-73 (1995), STS-80 (1996), STS-85 (1997), STS-96 (1999), STS-100 (2001)",5,066:22:56,1992.0,14.0,Retired,8/7/1956,Colorado,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,Captain,US Navy (Retired),5,1611,0,0.0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",0,0
Kevin A. Ford,United States,Man,"STS-128 (2009), Soyuz TMA-06M (2012)",2,157:13:13,2000.0,18.0,Active,7/7/1960,Indiana,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,Colonel,US Air Force (Retired),2,3781,0,0.0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",0,0
Kevin Kregel,United States,Man,"STS-70 (1995), STS-78 (1996), STS-87 (1997), STS-99 (2000)",4,052:18:22,1992.0,14.0,Retired,9/16/1956,New York,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,0,0,4,1265,0,0.0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",0,0
Kevin P. Chilton,United States,Man,"STS-49 (1992), STS-59 (1994), STS-76 (1996)",3,029:10:23,1987.0,12.0,Retired,3/11/1954,California,US Air Force Academy; Columbia University,Engineering Science,Mechanical Engineering,Brigadier General,US Air Force (Retired),3,700,0,0.0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",0,0
Kjell N. Lindgren,United States,Man,Soyuz TMA-17M (2015),1,141:16:09,2009.0,20.0,Active,1/23/1973,Taiwan,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,Biology,Medicine; Cardiovascular Physiology; Health Informatics; Public Health,0,0,1,3400,2,15.0,ISS-44/45 (Soyuz),0,0
"L. Gordon Cooper, Jr.",United States,Man,"Mercury-Atlas 9 (1963), Gemini 5 (1965)",2,009:09:15,1959.0,1.0,Deceased,3/6/1927,Oklahoma,Air Force Institute of Technology,Aeronautical Engineering,0,Colonel,US Air Force (Retired),2,225,0,0.0,"Mercury 9, Gemini 5",10/4/2004,0
"L. Gordon Cooper, Jr.",United States,Man,"Mercury-Atlas 9 (1963), Gemini 5 (1965)",2,009:09:15,1984.0,10.0,Retired,1/16/1952,Georgia,US Air Force Academy; Georgia Institute of Technology,Engineering Science,Engineering Science,Colonel,US Air Force (Retired),2,462,0,0.0,"STS-39 (Discovery), STS-64 (Discovery)",0,0
Lee Archambault,United States,Man,"STS-117 (2007), STS-119 (2009)",2,026:15:41,1998.0,17.0,Retired,8/25/1960,Illinois,University of Illinois-Urbana,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Colonel,US Air Force,2,639,0,0.0,"STS-117 (Atlantis), STS-119 (Discovery)",0,0
Lee Morin,United States,Man,STS-110 (2002),1,010:19:42,1996.0,16.0,Management,9/9/1952,New Hampshire,University of New Hampshire; University of Alabama-Birmingham; New York University,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbiology,Captain,US Navy,1,259,2,14.0,STS-110 (Atlantis),0,0
Leland D. Melvin,United States,Man,"STS-122 (2008), STS-129 (2009)",2,023:13:38,1998.0,17.0,Management,2/15/1964,Virginia,University of Richmond; University of Virginia,Chemistry,Materials Science Engineering,0,0,2,565,0,0.0,"STS-122 (Atlantis), STS-129 (Atlantis)",0,0
Leroy Chiao,United States,Man,"STS-65 (1994), STS-72 (1996), STS-92 (2000), Soyuz TMA-5 (2004)",4,229:08:40,1990.0,13.0,Retired,8/28/1960,Wisconsin,University of California-Berkeley; University of California-Santa Barbara,Chemical Engineering,Chemical Engineering,0,0,4,5503,6,36.0,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)",0,0
Linda Godwin,United States,Woman,"STS-37 (1991), STS-59 (1994), STS-76 (1996), STS-108 (2001)",4,038:06:15,1985.0,11.0,Retired,7/2/1952,Missouri,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,0,0,4,918,2,10.0,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",0,0
Lisa Nowak,United States,Woman,STS-121 (2006),1,012:18:36,1996.0,16.0,Retired,5/10/1963,District of Columbia,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,306,0,0.0,STS-121 (Discovery),0,0
Lodewijk van den Berg,United States,Man,STS-51-B (1985),1,007:00:08,0.0,0.0,Retired,3/24/1932,Netherlands,Delft University of Technology; University of Delaware,Chemical Engineering,Applied Science,0,0,1,168,0,0.0,STS 51-B (Challenger),0,0
Loren Acton,United States,Man,STS-51-F (1985),1,007:22:45,0.0,0.0,Retired,3/7/1936,Montana,Montana State University; University of Colorado,Engineering Physics,Solar Physics,0,0,1,190,0,0.0,STS 51-F (Challenger),0,0
Loren Shriver,United States,Man,"STS-51-C (1985), STS-31 (1990), STS-46 (1992)",3,016:02:04,1978.0,8.0,Retired,9/23/1944,Iowa,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),3,386,0,0.0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",0,0
"Mario Runco, Jr.",United States,Man,"STS-44 (1991), STS-54 (1993), STS-77 (1996)",3,022:23:07,1987.0,12.0,Management,1/26/1952,New York,City College of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,Lieutenant Commander,US Navy (Retired),3,551,0,0.0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)",04/23/01,0
Mark Brown,United States,Man,"STS-28 (1989), STS-48 (1991)",2,010:09:27,1984.0,10.0,Retired,11/18/1951,Indiana,Purdue University; Air Force Institute of Technology,Aeronautical & Astronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),2,249,0,0.0,"STS 28 (Columbia), STS-48 (Discovery)",0,0
Mark C. Lee,United States,Man,"STS-30 (1989), STS-47 (1992), STS-64 (1994), STS-82 (1997)",4,032:21:53,1984.0,10.0,Retired,8/14/1952,Wisconsin,US Air Force Academy; MIT,Civil Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),4,789,4,26.0,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",0,0
Mark Kelly,United States,Man,"STS-108 (2001), STS-121 (2006), STS-124 (2008), STS-134 (2011)",4,054:02:05,1996.0,16.0,Retired,2/21/1964,New Jersey,US Merchant Marine Academy; US Naval Postgraduate School,Marine Engineering & Nautical Science,Aeronautical Engineering,Captain,US Navy (Retired),4,1298,0,0.0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",0,0
Mark Polansky,United States,Man,"STS-98 (2001), STS-116 (2006), STS-127 (2009)",3,041:10:49,1996.0,16.0,Retired,6/2/1956,New Jersey,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,0,0,3,995,0,0.0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",0,0
Mark Vande Hei,United States,Man,"Soyuz MS-06 (2017), Soyuz MS-18 (2021)",2,1792:14:29,2009.0,20.0,Active,11/10/1966,Virginia,Saint John’s University; Stanford University,Physics,Applied Physics,Colonel,US Army,0,0,0,0.0,0,0,0
Marsha Ivins,United States,Woman,"STS-32 (1990), STS-46 (1992), STS-62 (1994), STS-81 (1997), STS-98 (2001)",5,055:21:49,1984.0,10.0,Retired,4/15/1951,Maryland,University of Colorado,Aerospace Engineering,0,0,0,5,1341,0,0.0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",0,0
Martin J. Fettman,United States,Man,STS-58 (1993),1,014:00:12,0.0,0.0,Retired,12/31/1956,New York,Cornell University; Colorado State University,Animal Nutrition,Physiology,0,0,1,336,0,0.0,STS-58 (Columbia),0,0
Mary Ellen Weber,United States,Woman,"STS-70 (1995), STS-101 (2000)",2,018:18:29,1992.0,14.0,Retired,8/24/1962,Ohio,Purdue University; University of California-Berkeley,Chemical Engineering,Physical Chemistry,0,0,2,450,0,0.0,"STS-70 (Discovery), STS-101 (Atlantis)",0,0
Mary L. Cleave,United States,Woman,"STS-61-B (1985), STS-30 (1989)",2,010:22:01,1980.0,9.0,Retired,2/5/1947,New York,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,0,0,2,262,0,0.0,"STS 61-B (Atlantis), STS-30 (Atlantis)",0,0
Michael Baker,United States,Man,"STS-43 (1991), STS-52 (1992), STS-68 (1994), STS-81 (1997)",4,040:03:04,1985.0,11.0,Management,10/27/1953,Tennessee,University of Texas,Aerospace Engineering,0,Captain,US Navy (Retired),4,965,0,0.0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",0,0
Michael Coats,United States,Man,"STS-41-D (1984), STS-29 (1989), STS-39 (1991)",3,019:07:57,1978.0,8.0,Retired,1/16/1946,California,US Naval Academy; George Washington University; US Naval Postgraduate School,0,Science & Technology Administration; Aeronautical Engineering,Captain,US Navy (Retired),3,463,0,0.0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",0,0
Michael Collins,United States,Man,"Gemini 10 (1966), Apollo 11 (1969)",2,011:02:05,1963.0,3.0,Retired,10/31/1930,Italy,US Military Academy,0,0,0,US Air Force Reserves,2,266,1,1.0,"Gemini 10, Apollo 11",0,0
Michael Foreman,United States,Man,"STS-123 (2008), STS-129 (2009)",2,026:13:28,1998.0,17.0,Management,3/29/1957,Ohio,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,637,5,32.0,"STS-123 (Endeavor), STS-129 (Atlantis)",0,0
Michael Fossum,United States,Man,"STS-121 (2006), STS-124 (2008), Soyuz TMA-02M (2011)",3,193:19:03,1998.0,17.0,Active,12/19/1957,South Dakota,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),0,US Air Force Reserves (Retired),3,4651,7,48.0,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",0,0
